T,I
3.04,3.04
7.2,4.16
10.23,3.03
13.91,3.68
18.66,4.75
21.68,3.02
27.23,5.55
30.51,3.28
36.14,5.63
40.66,4.52
46.5,5.84
51.47,4.97
57.86,6.39
63.59,5.73
73.05,9.46
78.4,5.35
90.91,12.51
98.89,7.98
112.7,13.81
126.66,13.96
139.99,13.33
162.93,22.94
185.03,22.1
215.01,29.98
273.83,58.82
