T,I
2.71,2.71
5.94,3.23
7.66,1.72
11.43,3.77
13.09,1.66
16.96,3.87
18.52,1.56
22.64,4.12
24.98,2.34
29.37,4.39
31.9,2.53
36.18,4.28
39.5,3.32
44.01,4.51
47.28,3.27
53.22,5.94
56.48,3.26
62.04,5.56
66.61,4.57
72.34,5.73
78.74,6.4
84.64,5.9
92.03,7.39
99.74000000000001,7.71
108.35,8.61
116.99000000000001,8.64
128.44,11.45
139.48,11.04
152.13,12.65
174.73,22.6
190.14,15.41
229.34,39.2
257.06,27.72
308.67,51.61
