T,I
2.91,2.91
5.69,2.78
7.5,1.81
11.26,3.76
13.54,2.28
16.94,3.4
19.12,2.18
23.48,4.36
27.41,3.93
29.3,1.89
32.54,3.24
36.51,3.97
39.34,2.83
44.83,5.49
48.42,3.59
52.98,4.56
57.3,4.32
62.95,5.65
67.94,4.99
73.08,5.14
80.92,7.84
85.69,4.77
92.52000000000001,6.83
101.89,9.37
109.38,7.49
120.0,10.62
128.65,8.65
145.26,16.61
157.35,12.09
174.82,17.47
200.78,25.96
228.67000000000002,27.89
271.11,42.44
