T,I
2.59,2.59
6.11,3.52
9.12,3.01
13.18,4.06
16.91,3.73
21.29,4.38
24.94,3.65
30.13,5.19
38.78,8.65
44.19,5.41
49.87,5.68
55.66,5.79
62.26,6.6
69.74,7.48
77.19,7.45
85.31,8.12
95.92,10.61
103.37,7.45
118.94,15.57
130.72,11.78
150.78,20.06
168.54,17.76
238.68,70.14
292.26,53.58
