T,I
3.63,3.63
5.47,1.84
9.01,3.54
11.06,2.05
14.39,3.33
17.02,2.63
19.61,2.59
23.56,3.95
26.26,2.7
29.92,3.66
33.37,3.45
37.23,3.86
40.91,3.68
45.19,4.28
49.43,4.24
54.34,4.91
58.15,3.81
65.2,7.05
69.37,4.17
75.88,6.51
81.31,5.43
88.41,7.1
97.74000000000001,9.33
104.42,6.68
115.2,10.78
124.65,9.45
139.06,14.41
151.56,12.5
171.78,20.22
192.06,20.28
225.82,33.76
267.01,41.19
359.08,92.07
