T,I
2.13,2.13
4.61,2.48
8.25,3.64
10.37,2.12
14.61,4.24
17.36,2.75
21.29,3.93
24.4,3.11
28.82,4.42
32.01,3.19
36.92,4.91
40.78,3.86
45.03,4.25
51.5,6.47
56.05,4.55
62.15,6.1
67.36,5.21
75.27,7.91
81.09,5.82
87.71000000000001,6.62
97.06,9.35
107.93,10.87
118.06,10.13
126.74,8.68
146.17000000000002,19.43
161.22,15.05
184.02,22.8
212.73,28.71
245.46,32.73
