T,I
1.68,1.68
3.9,2.22
5.74,1.84
9.03,3.29
11.27,2.24
14.1,2.83
16.82,2.72
19.12,2.3
23.17,4.05
25.63,2.46
28.66,3.03
32.01,3.35
35.71,3.7
39.15,3.44
43.2,4.05
46.53,3.33
52.31,5.78
55.76,3.45
60.15,4.39
66.28,6.13
70.94,4.66
77.32,6.38
82.77,5.45
88.77,6.0
97.46000000000001,8.69
104.50999999999999,7.05
112.13,7.62
123.67,11.54
134.08,10.41
145.13,11.05
166.16,21.03
180.74,14.58
198.25,17.51
235.49,37.24
275.75,40.26
