T,I
4.75,4.75
6.13,1.38
10.01,3.88
12.26,2.25
15.4,3.14
18.52,3.12
22.38,3.86
25.15,2.77
29.19,4.04
32.81,3.62
36.36,3.55
39.99,3.63
45.12,5.13
49.03,3.91
54.33,5.3
58.39,4.06
64.35,5.96
69.42,5.07
77.6,8.18
81.6,4.0
91.72,10.12
97.16,5.44
106.55,9.39
117.4,10.85
126.16,8.76
143.52,17.36
156.43,12.91
177.12,20.69
199.92000000000002,22.8
236.05,36.13
292.97,56.92
439.76,146.79
