T,I
11.5,11.5
12.55,1.05
17.13,4.58
20.26,3.13
25.04,4.78
27.63,2.59
32.07,4.44
35.3,3.23
40.18,4.88
44.69,4.51
48.63,3.94
56.13,7.5
61.27,5.14
68.88,7.61
75.84,6.96
83.03999999999999,7.2
96.47999999999999,13.44
106.0,9.52
116.41,10.41
135.72,19.31
152.14,16.42
173.57,21.43
207.14,33.57
254.19,47.05
