T,I
2.37,2.37
4.71,2.34
7.41,2.7
10.02,2.61
13.48,3.46
15.41,1.93
20.41,5.0
22.43,2.02
26.12,3.69
29.77,3.65
33.42,3.65
37.27,3.85
41.89,4.62
46.09,4.2
49.55,3.46
55.97,6.42
59.1,3.13
67.07,7.97
71.07,4.0
78.32,7.25
84.03999999999999,5.72
94.37,10.33
100.75999999999999,6.39
111.15,10.39
121.12,9.97
131.53,10.41
150.73,19.2
164.71,13.98
186.98,22.27
214.35,27.37
261.73,47.38
