T,I
3.51,3.51
6.53,3.02
9.33,2.8
12.33,3.0
15.43,3.1
18.62,3.19
22.07,3.45
24.7,2.63
29.86,5.16
32.91,3.05
37.59,4.68
41.01,3.42
46.34,5.33
49.72,3.38
56.48,6.76
60.6,4.12
67.23,6.63
79.68,12.45
86.43,6.75
94.9,8.47
104.11,9.21
112.27000000000001,8.16
134.09,21.82
153.54,19.45
167.38,13.84
194.56,27.18
227.84,33.28
275.74,47.9
