T,I
2.58,2.58
5.83,3.25
8.31,2.48
11.75,3.44
15.11,3.36
18.13,3.02
21.92,3.79
25.84,3.92
29.69,3.85
33.46,3.77
38.79,5.33
43.26,4.47
47.53,4.27
54.37,6.84
58.31,3.94
67.04,8.73
70.38,3.34
80.39,10.01
85.48,5.09
97.53,12.05
104.69,7.16
119.45,14.76
128.19,8.74
149.13,20.94
163.4,14.27
190.96,27.56
215.15,24.19
286.76,71.61
