T,I
2.51,2.51
5.46,2.95
9.04,3.58
11.35,2.31
16.16,4.81
18.51,2.35
24.02,5.51
26.23,2.21
32.73,6.5
34.77,2.04
42.01,7.24
44.57,2.56
51.64,7.07
55.81,4.17
63.26,7.45
68.53,5.27
76.89,8.36
84.17,7.28
92.84,8.67
100.85,8.01
114.47999999999999,13.63
125.16,10.68
142.81,17.65
154.13,11.32
184.21,30.08
209.2,24.99
252.91,43.71
