T,I
3.38,3.38
6.87,3.49
9.5,2.63
12.71,3.21
14.98,2.27
19.79,4.81
22.2,2.41
27.44,5.24
29.85,2.41
35.19,5.34
38.94,3.75
42.51,3.57
49.18,6.67
53.06,3.88
58.65,5.59
64.6,5.95
72.03999999999999,7.44
78.67,6.63
86.09,7.42
93.22,7.13
103.44,10.22
114.46000000000001,11.02
123.2,8.74
142.47,19.27
156.27,13.8
176.55,20.28
202.3,25.75
245.3,43.0
291.09000000000003,45.79
